2a	github 帳號	組別
40823132	40823132	7
40823143	40823143	7
40923101	a40923101	1
40923102	40923102	2
40923103	40923103	1
40923104	409231044	2
40923105	40923105	2
40923106	40923106	2
40923107	40923107	2
40923108	40923108	1
40923109	CYC40923109	3
40923110	40923110	2
40923111	40923111	3
40923113	40923113	6
40923114	40923114	3
40923115	jason60714	3
40923116	40923116	4
40923117	Maxlee999	7
40923118	40923118	7
40923119	40923119	1
40923120	40923120	7
40923121	40923121	2
40923122	40923122	3
40923123	40923123	5
40923124	40923124	4
40923125	40923125	4
40923126	40923126-1	4
40923127	40923127-1	4
40923128	40923128	4
40923129	40923129	3
40923130	40923130	6
40923131	40923131	5
40923133	40923133	5
40923134	40923134	5
40923135	40923135	5
40923136	40923136-1	7
40923137	s40923137	1
40923138	40923138	4
40923139	40923139	5
40923140	40923140	6
40923142	40923142	5
40923143	40923143	4
40923144	40923144	6
40923145	40923145	6
40923146	a40923146	3
40923147	40923147	7
40923148	40923148	3
40923149	40923149r	6
40923150	40923150	6
40923151	40923151	5
40923152	40923152	6
40923153	40923153	2
40923154	40923154	1
40923156	ZHILIN-0817	1
40923157	40923157	7
40971134	40971134	1
